id,temp,humidity,wind,game_id
444,61,52,7,20201018BALPHI
445,85,66,15,20201018NYJMIA
446,88,48,12,20201018GNBTAM
447,86,22,10,20201018LARSFO
448,51,92,6,20201019KANBUF
449,70,75,4,20201022NYGPHI
450,55,88,3,20201025PITTEN
451,52,52,8,20201025BUFNYJ
452,48,77,8,20201025CLECIN
453,46,90,5,20201025DALWAS
454,14,78,11,20201025KANDEN
455,49,60,7,20201025SFONWE
456,76,76,8,20201029ATLCAR
457,34,50,23,20201101MINGNB
458,86,73,10,20201101LARMIA
459,52,97,7,20201101PITBAL
460,41,87,17,20201101NWEBUF
461,48,52,24,20201101TENCIN
462,49,56,35,20201101LVRCLE
463,52,0,11,20201101NYJKAN
464,64,23,10,20201101LACDEN
465,55,58,4,20201101SFOSEA
466,40,41,20,20201101NORCHI
467,49,66,17,20201101DALPHI
468,39,46,8,20201102TAMNYG
469,78,83,5,20201105GNBSFO
470,79,71,14,20201108HOUJAX
471,69,41,4,20201108SEABUF
472,71,63,19,20201108CARKAN
473,77,55,14,20201108CHITEN
474,75,49,1,20201108NYGWAS
475,77,76,17,20201108NORTAM
476,61,72,2,20201109NWENYJ
477,56,46,6,20201112INDTEN
478,59,66,25,20201115HOUCLE
479,38,76,23,20201115JAXGNB
480,65,90,15,20201115TAMCAR
481,56,60,18,20201115PHINYG
482,83,73,7,20201115LACMIA
483,52,82,21,20201115CINPIT
484,52,81,13,20201115BALNWE
485,44,59,11,20201116MINCHI
486,48,74,11,20201119ARISEA
487,57,63,7,20201122CINWAS
488,38,88,8,20201122PHICLE
489,72,84,3,20201122PITJAX
490,53,67,6,20201122TENBAL
491,65,67,7,20201122DETCAR
492,45,19,7,20201122MIADEN
493,69,65,5,20201123LARTAM
494,48,52,7,20201129LACBUF
495,52,50,4,20201129NYGCIN
496,70,83,1,20201129CLEJAX
497,52,40,8,20201129ARINWE
498,54,32,2,20201129MIANYJ
499,38,33,6,20201129NORDEN
500,81,50,5,20201129KANTAM
501,37,59,13,20201129CHIGNB
502,60,94,16,20201130SEAPHI
503,36,68,14,20201202BALPIT
504,35,80,5,20201206DETCHI
505,81,64,5,20201206CINMIA
506,52,68,1,20201206CLETEN
507,39,46,18,20201206LVRNYJ
508,51,83,4,20201206NYGSEA
509,34,64,9,20201206PHIGNB
510,41,70,9,20201206DENKAN
511,34,58,10,20201207WASPIT
512,38,54,9,20201208DALBAL
513,70,67,7,20201213DENCAR
514,34,70,1,20201213HOUCHI
515,44,73,5,20201213DALCIN
516,59,58,15,20201213ARINYG
517,69,83,2,20201213TENJAX
518,81,56,8,20201213KANMIA
519,78,63,5,20201213MINTAM
520,43,90,8,20201213NYJSEA
521,57,49,10,20201213NORPHI
522,35,71,11,20201213PITBUF
523,34,51,18,20201214BALCLE
524,47,22,24,20201219BUFDEN
525,33,85,5,20201219CARGNB
526,46,86,5,20201220DETTEN
527,39,78,3,20201220JAXBAL
528,79,65,9,20201220NWEMIA
529,43,69,8,20201220SEAWAS
530,36,82,0,20201220CLENYG
531,43,63,10,20201221PITCIN
532,49,44,8,20201227ATLKAN
533,55,60,5,20201227CHIJAX
534,37,42,5,20201227CLENYJ
535,37,65,6,20201227INDPIT
536,38,48,3,20201227NYGBAL
537,41,46,6,20201227CARWAS
538,45,89,2,20201227LARSEA
539,28,88,15,20201227TENGNB
540,41,90,4,20201228BUFNWE
541,65,77,0,20210103ATLTAM
542,35,93,0,20210103MIABUF
543,39,79,0,20210103BALCIN
544,38,91,0,20210103PITCLE
545,33,85,0,20210103DALNYG
546,33,75,0,20210103NYJNWE
547,57,80,0,20210103NORCAR
548,32,85,0,20210103GNBCHI
549,53,19,0,20210103LVRDEN
550,35,88,0,20210103LACKAN
551,38,92,0,20210103WASPHI
552,34,59,6,20210109INDBUF
553,39,91,1,20210109LARSEA
554,40,47,10,20210109TAMWAS
555,33,63,1,20210110BALTEN
556,34,72,1,20210110CLEPIT
557,35,69,13,20210116LARGNB
558,34,81,13,20210116BALBUF
559,40,62,13,20210117CLEKAN
560,29,75,10,20210124TAMGNB
561,40,70,7,20210124BUFKAN
562,63,78,9,20210207TAMKAN
563,82,85,9,20210909DALTAM
564,73,79,17,20210912PITBUF
565,81,51,0,20210912NYJCAR
566,81,54,15,20210912MINCIN
567,82,55,8,20210912ARITEN
568,81,49,4,20210912LACWAS
569,88,43,8,20210912CLEKAN
570,82,56,19,20210912DENNYG
571,86,57,9,20210912GNBNOR
572,81,58,15,20210912MIANWE
573,71,94,0,20210916NYGWAS
574,89,59,7,20210919BUFMIA
575,83,65,4,20210919NORCAR
576,80,52,0,20210919CINCHI
577,75,66,12,20210919HOUCLE
578,80,87,7,20210919DENJAX
579,72,49,13,20210919NWENYJ
580,76,42,13,20210919SFOPHI
581,77,60,4,20210919LVRPIT
582,85,72,0,20210919ATLTAM
583,62,70,14,20210919TENSEA
584,82,38,8,20210919KANBAL
585,73,84,12,20210920DETGNB
586,69,45,13,20210926ATLNYG
587,67,40,21,20210926WASBUF
588,70,38,22,20210926CHICLE
589,67,42,9,20210926CINPIT
590,72,66,4,20210926INDTEN
591,81,49,4,20210926ARIJAX
592,81,34,19,20210926LACKAN
593,73,55,11,20210926NORNWE
594,82,13,6,20210926NYJDEN
595,69,57,15,20210926GNBSFO
596,65,84,0,20210930JAXCIN
597,67,93,12,20211003HOUBUF
598,72,79,4,20211003DETCHI
599,85,57,16,20211003INDMIA
600,73,69,8,20211003KANPHI
601,78,50,9,20211003TENNYJ
602,80,33,0,20211003SEASFO
603,77,14,11,20211003BALDEN
604,67,87,4,20211003PITGNB
605,62,84,4,20211003TAMNWE
606,56,53,8,20211007LARSEA
607,63,77,8,20211010NYJATL
608,76,60,13,20211010PHICAR
609,76,67,12,20211010GNBCIN
610,71,61,9,20211010DENPIT
611,78,71,11,20211010TENJAX
612,84,59,7,20211010MIATAM
613,70,78,12,20211010NORWAS
614,76,52,0,20211010BUFKAN
615,69,75,6,20211011INDBAL
616,74,56,8,20211014TAMPHI
617,63,72,11,20211017MIAJAX
618,62,39,7,20211017MINCAR
619,59,39,6,20211017GNBCHI
620,62,39,13,20211017KANWAS
621,61,56,13,20211017LARNYG
622,63,46,15,20211017LACBAL
623,58,55,23,20211017ARICLE
624,62,46,11,20211017DALNWE
625,76,10,8,20211017LVRDEN
626,49,77,6,20211017SEAPIT
627,66,40,6,20211018BUFTEN
628,59,69,27,20211021DENCLE
629,85,70,9,20211024ATLMIA
630,57,51,0,20211024CARNYG
631,61,60,6,20211024CINBAL
632,49,56,11,20211024WASGNB
633,74,48,14,20211024KANTEN
634,52,44,0,20211024NYJNWE
635,83,65,7,20211024CHITAM
636,64,84,16,20211024INDSFO
637,54,77,16,20211025NORSEA
638,54,82,9,20211031MIABUF
639,53,63,12,20211031SFOCHI
640,63,67,11,20211031CINNYJ
641,57,67,13,20211031PITCLE
642,54,45,8,20211031JAXSEA
643,41,70,4,20211031WASDEN
644,39,89,4,20211101NYGKAN
645,59,75,16,20211107BUFJAX
646,56,37,8,20211107MINBAL
647,61,35,16,20211107NWECAR
648,56,47,0,20211107CLECIN
649,72,57,19,20211107HOUMIA
650,54,38,4,20211107LVRNYG
651,54,37,11,20211107LACPHI
652,57,74,8,20211107ARISFO
653,51,74,12,20211107GNBKAN
654,55,51,7,20211108CHIPIT
655,77,85,4,20211111BALMIA
656,47,56,4,20211114BUFNYJ
657,37,72,12,20211114DETPIT
658,53,48,12,20211114NORTEN
659,47,40,8,20211114TAMWAS
660,48,54,6,20211114CLENWE
661,57,27,19,20211114PHIDEN
662,35,78,11,20211114SEAGNB
663,59,88,0,20211115LARSFO
664,49,48,12,20211121INDBUF
665,46,71,9,20211121BALCHI
666,59,67,8,20211121HOUTEN
667,68,84,17,20211121SFOJAX
668,51,63,4,20211121NORPHI
669,54,50,0,20211121WASCAR
670,42,84,7,20211121DETCLE
671,52,44,4,20211121MIANYJ
672,57,31,17,20211121DALKAN
673,46,76,0,20211121ARISEA
674,68,61,6,20211122NYGTAM
675,61,41,4,20211128ATLJAX
676,43,65,12,20211128PITCIN
677,39,72,4,20211128PHINYG
678,74,56,4,20211128CARMIA
679,33,61,6,20211128TENNWE
680,62,22,0,20211128LACDEN
681,68,43,7,20211128MINSFO
682,37,46,14,20211128LARGNB
683,43,70,0,20211128CLEBAL
684,41,51,9,20211129SEAWAS
685,34,80,8,20211205ARICHI
686,48,51,11,20211205LACCIN
687,45,33,0,20211205PHINYJ
688,80,62,11,20211205NYGMIA
689,41,76,4,20211205SFOSEA
690,50,44,7,20211205BALPIT
691,58,55,22,20211205DENKAN
692,36,59,19,20211206NWEBUF
693,48,37,9,20211212ATLCAR
694,48,40,9,20211212SFOCIN
695,46,42,14,20211212BALCLE
696,48,32,17,20211212DALWAS
697,45,58,0,20211212JAXTEN
698,47,34,19,20211212LVRKAN
699,46,30,13,20211212NORNYJ
700,63,12,8,20211212DETDEN
701,82,66,4,20211212BUFTAM
702,36,59,8,20211212CHIGNB
703,30,69,8,20211219CARBUF
704,37,54,8,20211219DALNYG
705,43,52,11,20211219GNBBAL
706,80,71,12,20211219HOUJAX
707,82,70,9,20211219NYJMIA
708,32,74,11,20211219TENPIT
709,46,81,0,20211219ATLSFO
710,61,9,19,20211219CINDEN
711,75,99,0,20211219NORTAM
712,40,47,8,20211220LVRCLE
713,37,75,8,20211220MINCHI
714,42,57,7,20211221WASPHI
715,48,46,7,20211223SFOTEN
716,35,49,11,20211225CLEGNB
717,38,79,13,20211226BUFNWE
718,73,41,8,20211226TAMCAR
719,52,63,0,20211226BALCIN
720,47,49,0,20211226JAXNYJ
721,53,46,9,20211226NYGPHI
722,25,85,11,20211226CHISEA
723,60,64,22,20211226PITKAN
724,26,81,11,20220102ATLBUF
725,25,74,13,20220102NYGCHI
726,33,81,13,20220102KANCIN
727,46,100,4,20220102JAXNWE
728,43,93,13,20220102MIATEN
729,57,82,9,20220102TAMNYJ
730,62,91,4,20220102PHIWAS
731,50,58,6,20220102HOUSFO
732,37,92,0,20220102DETSEA
733,59,92,6,20220102LARBAL
734,11,60,9,20220102MINGNB
735,25,60,12,20220103CLEPIT
736,41,57,4,20220108KANDEN
737,31,43,8,20220108DALPHI
738,36,67,19,20220109NYJBUF
739,80,99,4,20220109CARTAM
740,38,89,22,20220109CINCLE
741,76,60,19,20220109INDJAX
742,75,79,8,20220109NWEMIA
743,38,64,0,20220109WASNYG
744,36,100,0,20220109PITBAL
745,31,63,12,20220115LVRCIN
746,7,66,8,20220115NWEBUF
747,66,52,21,20220116PHITAM
748,30,78,8,20220116PITKAN
749,35,43,0,20220122CINTEN
750,15,53,12,20220122SFOGNB
751,50,69,11,20220123LARTAM
752,35,54,6,20220123BUFKAN
753,41,41,4,20220130CINKAN
754,79,79,6,20220911CLECAR
755,67,84,7,20220911SFOCHI
756,73,90,2,20220911PITCIN
757,74,94,4,20220911JAXWAS
758,91,60,11,20220911NWEMIA
759,69,87,2,20220911BALNYJ
760,77,90,14,20220911NYGTEN
761,73,55,4,20220912DENSEA
762,82,41,13,20220915LACKAN
763,77,56,7,20220918CARNYG
764,79,58,12,20220918NYJCLE
765,81,79,6,20220918INDJAX
766,77,69,6,20220918MIABAL
767,75,64,8,20220918NWEPIT
768,64,83,12,20220918SEASFO
769,79,30,7,20220918HOUDEN
770,73,76,6,20220918CHIGNB
771,68,83,4,20220919TENBUF
772,79,58,4,20220919MINPHI
773,61,48,24,20220922PITCLE
774,90,54,7,20220925BUFMIA
775,69,61,6,20220925NORCAR
776,65,65,15,20220925HOUCHI
777,67,63,2,20220925CINNYJ
778,69,55,15,20220925BALNWE
779,78,62,14,20220925LVRTEN
780,68,78,4,20220925PHIWAS
781,72,55,9,20220925ATLSEA
782,89,54,7,20220925GNBTAM
783,72,27,7,20220925SFODEN
784,70,42,2,20220926DALNYG
785,63,54,12,20220929MIACIN
786,64,49,8,20221002MINNOR
787,58,78,2,20221002BUFBAL
788,59,63,15,20221002CHINYG
789,57,93,11,20221002JAXPHI
790,57,77,7,20221002NYJPIT
791,66,59,15,20221002ARICAR
792,66,59,9,20221002NWEGNB
793,75,64,2,20221002KANTAM
794,73,53,13,20221003LARSFO
795,71,23,9,20221006INDDEN
796,64,42,9,20221009NYGGNB
797,82,58,8,20221009ATLTAM
798,59,47,13,20221009PITBUF
799,58,47,16,20221009LACCLE
800,60,42,13,20221009DETNWE
801,87,59,11,20221009HOUJAX
802,57,47,15,20221009MIANYJ
803,59,36,11,20221009TENWAS
804,66,43,2,20221009SFOCAR
805,52,71,2,20221009CINBAL
806,77,37,4,20221010LVRKAN
807,48,46,11,20221013WASCHI
808,57,47,7,20221016NWECLE
809,49,66,7,20221016NYJGNB
810,85,65,13,20221016MINMIA
811,61,52,4,20221016BALNYG
812,58,37,12,20221016TAMPIT
813,80,29,6,20221016ARISEA
814,64,37,12,20221016BUFKAN
815,61,58,2,20221016DALPHI
816,72,46,11,20221023ATLCIN
817,66,46,6,20221023TAMCAR
818,63,63,4,20221023CLEBAL
819,73,34,13,20221023INDTEN
820,59,83,9,20221023GNBWAS
821,74,62,7,20221023NYGJAX
822,63,27,29,20221023NYJDEN
823,66,32,12,20221023KANSFO
824,78,69,7,20221023PITMIA
825,56,93,11,20221024CHINWE
826,76,91,4,20221027BALTAM
827,61,77,9,20221030DENJAX
828,57,39,2,20221030NWENYJ
829,60,47,2,20221030PITPHI
830,54,83,8,20221030NYGSEA
831,54,47,4,20221030GNBBUF
832,66,68,9,20221031CINCLE
833,69,81,17,20221106BUFNYJ
834,68,57,11,20221106CARCIN
835,78,56,13,20221106INDNWE
836,58,55,17,20221106MIACHI
837,71,79,11,20221106MINWAS
838,81,72,14,20221106LVRJAX
839,88,57,2,20221106LARTAM
840,54,61,7,20221106TENKAN
841,61,88,12,20221110ATLCAR
842,54,71,9,20221113SEATAM
843,85,48,7,20221113CLEMIA
844,36,48,9,20221113DENTEN
845,34,45,13,20221113DETCHI
846,50,58,15,20221113HOUNYG
847,33,56,7,20221113JAXKAN
848,38,85,11,20221113MINBUF
849,37,65,15,20221113NORPIT
850,33,53,8,20221113DALGNB
851,57,38,6,20221113LACSFO
852,43,45,6,20221114WASPHI
853,25,81,11,20221117TENGNB
854,36,24,2,20221120CARBAL
855,35,30,21,20221120DETNYG
856,42,35,2,20221120NYJNWE
857,49,23,11,20221120LVRDEN
858,27,38,12,20221120CINPIT
859,64,52,4,20221121SFOARI
860,46,97,9,20221127ATLWAS
861,50,61,9,20221127CHINYJ
862,56,62,14,20221127CINTEN
863,66,94,15,20221127DENCAR
864,84,63,13,20221127HOUMIA
865,77,82,19,20221127BALJAX
866,56,84,14,20221127TAMCLE
867,44,67,8,20221127LVRSEA
868,59,63,2,20221127NORSFO
869,44,65,6,20221127LARKAN
870,62,86,24,20221127GNBPHI
871,35,57,2,20221201BUFNWE
872,63,75,8,20221204DENBAL
873,38,42,12,20221204GNBCHI
874,60,62,7,20221204TENPHI
875,40,63,9,20221204WASNYG
876,38,73,6,20221204MIASFO
877,57,77,2,20221204KANCIN
878,69,78,2,20221205NORTAM
879,47,63,8,20221211CLECIN
880,54,77,8,20221211JAXTEN
881,36,92,11,20221211NYJBUF
882,37,78,6,20221211PHINYG
883,42,82,12,20221211BALPIT
884,45,97,4,20221211CARSEA
885,54,54,8,20221211TAMSFO
886,55,19,4,20221211KANDEN
887,39,71,6,20221215SFOSEA
888,34,59,12,20221217BALCLE
889,29,92,4,20221217MIABUF
890,47,37,7,20221218PITCAR
891,17,70,17,20221218PHICHI
892,54,37,9,20221218DALJAX
893,38,52,13,20221218DETNYJ
894,37,20,4,20221218ARIDEN
895,66,43,6,20221218CINTAM
896,35,47,13,20221218NYGWAS
897,15,76,4,20221219LARGNB
898,43,89,17,20221222JAXNYJ
899,17,38,9,20221224ATLBAL
900,7,72,17,20221224BUFCHI
901,20,43,12,20221224DETCAR
902,21,43,2,20221224CINNWE
903,6,66,27,20221224NORCLE
904,22,55,14,20221224HOUTEN
905,12,61,9,20221224SEAKAN
906,54,82,2,20221224WASSFO
907,9,76,21,20221224LVRPIT
908,45,68,14,20221225GNBMIA
909,56,72,4,20221229DALTEN
910,75,87,2,20230101CARTAM
