id,refPosition,officialId,gameId
2218,Side Judge,Jabir Walker,20190929TENATL
2219,Field Judge,Allen Baynes,20190929TENATL
2220,Referee,Craig Wrolstad,20190929NWEBUF
2221,Umpire,Steven Woods,20190929NWEBUF
2222,Down Judge,Patrick Turner,20190929NWEBUF
2223,Line Judge,Tripp Sutter,20190929NWEBUF
2224,Back Judge,Scott Helverson,20190929NWEBUF
2225,Side Judge,Jeff Lamberth,20190929NWEBUF
2226,Field Judge,Keith Washington,20190929NWEBUF
2227,Referee,Adrian Hill,20190929CARHOU
2228,Umpire,Roy Ellison,20190929CARHOU
2229,Down Judge,David Oliver,20190929CARHOU
2230,Line Judge,Mark Stewart,20190929CARHOU
2231,Back Judge,Greg Meyer,20190929CARHOU
2232,Side Judge,Jim Quirk,20190929CARHOU
2233,Field Judge,Land Clark,20190929CARHOU
2234,Referee,Shawn Hochuli,20190929CLEBAL
2235,Umpire,Dan Ferrrell,20190929CLEBAL
2236,Down Judge,Ed Camp,20190929CLEBAL
2237,Line Judge,Greg Bradley,20190929CLEBAL
2238,Back Judge,Rich Martinez,20190929CLEBAL
2239,Side Judge,James Coleman,20190929CLEBAL
2240,Field Judge,Tom Hill,20190929CLEBAL
2241,Referee,Scott Novak,20190929OAKIND
2242,Umpire,Ramon George,20190929OAKIND
2243,Down Judge,Derick Bowers,20190929OAKIND
2244,Line Judge,Walt Coleman IV,20190929OAKIND
2245,Back Judge,Terrence Miles,20190929OAKIND
2246,Side Judge,Chad Hill,20190929OAKIND
2247,Field Judge,Mike Weatherford,20190929OAKIND
2248,Referee,Walt Anderson,20190929KANDET
2249,Umpire,Ruben Fowler,20190929KANDET
2250,Down Judge,Tom Stephan,20190929KANDET
2251,Line Judge,Byron Boston,20190929KANDET
2252,Back Judge,Keith Ferguson,20190929KANDET
2253,Side Judge,Rick Patterson,20190929KANDET
2254,Field Judge,Lee Dyer,20190929KANDET
2255,Referee,Tony Corrente,20190929LACMIA
2256,Umpire,Bill Schuster,20190929LACMIA
2257,Down Judge,Dana McKenzie,20190929LACMIA
2258,Line Judge,Tim Podraza,20190929LACMIA
2259,Back Judge,Todd Prukop,20190929LACMIA
2260,Side Judge,Boris Cheek,20190929LACMIA
2261,Field Judge,Anthony Jeffries,20190929LACMIA
2262,Referee,Alex Kemp,20190929WASNYG
2263,Umpire,Richard Hall,20190929WASNYG
2264,Down Judge,Michael Spanier,20190929WASNYG
2265,Line Judge,Jeff Bergman,20190929WASNYG
2266,Back Judge,Steve Freeman,20190929WASNYG
2267,Side Judge,Dale Shaw,20190929WASNYG
2268,Field Judge,John Jenkins,20190929WASNYG
2269,Referee,Shawn Smith,20190929SEAARI
2270,Umpire,Bryan Neale,20190929SEAARI
2271,Down Judge,Mark Hittner,20190929SEAARI
2272,Line Judge,Bart Longson,20190929SEAARI
2273,Back Judge,Dino Paganelli,20190929SEAARI
2274,Side Judge,Dave Hawkshaw,20190929SEAARI
2275,Field Judge,Dyrol Prioleau,20190929SEAARI
2276,Referee,Bradley Rogers,20190929TAMLAR
2277,Umpire,Tony Michalek,20190929TAMLAR
2278,Down Judge,Kent Payne,20190929TAMLAR
2279,Line Judge,Julian Mapp,20190929TAMLAR
2280,Back Judge,Gregory Steed,20190929TAMLAR
2281,Side Judge,Don Willard,20190929TAMLAR
2282,Field Judge,Aaron Santi,20190929TAMLAR
2283,Referee,Brad Allen,20190929MINCHI
2284,Umpire,Barry Anderson,20190929MINCHI
2285,Down Judge,Jim Mello,20190929MINCHI
2286,Line Judge,Brian Bolinger,20190929MINCHI
2287,Back Judge,Greg Yette,20190929MINCHI
2288,Side Judge,Jimmy Russell,20190929MINCHI
2289,Field Judge,Steve Zimmer,20190929MINCHI
2290,Referee,Ronald Torbert,20190929JAXDEN
2291,Umpire,Terry Killens,20190929JAXDEN
2292,Down Judge,Sarah Thomas,20190929JAXDEN
2293,Line Judge,Mark Steinkerchner,20190929JAXDEN
2294,Back Judge,Anthony Josselyn,20190929JAXDEN
2295,Side Judge,Scott Edwards,20190929JAXDEN
2296,Field Judge,Ryan Dickson,20190929JAXDEN
2297,Referee,Carl Cheffers,20190929DALNOR
2298,Umpire,Mark Pellis,20190929DALNOR
2299,Down Judge,Danny Short,20190929DALNOR
2300,Line Judge,Jeff Seeman,20190929DALNOR
2301,Back Judge,Matthew Edwards,20190929DALNOR
2302,Side Judge,Eugene Hall,20190929DALNOR
2303,Field Judge,Michael Banks,20190929DALNOR
2304,Referee,Bill Vinovich,20190930CINPIT
2305,Umpire,Bruce Stritesky,20190930CINPIT
2306,Down Judge,Phil McKinnely,20190930CINPIT
2307,Line Judge,Mark Perlman,20190930CINPIT
2308,Back Judge,Steve Patrick,20190930CINPIT
2309,Side Judge,Gary Cavaletto,20190930CINPIT
2310,Field Judge,Mearl Robinson,20190930CINPIT
2311,Referee,Scott Novak,20191003LARSEA
2312,Umpire,Ramon George,20191003LARSEA
2313,Down Judge,Derick Bowers,20191003LARSEA
2314,Line Judge,Walt Coleman IV,20191003LARSEA
2315,Back Judge,Terrence Miles,20191003LARSEA
2316,Side Judge,Chad Hill,20191003LARSEA
2317,Field Judge,Mike Weatherford,20191003LARSEA
2318,Referee,Adrian Hill,20191006NYJPHI
2319,Umpire,Roy Ellison,20191006NYJPHI
2320,Down Judge,David Oliver,20191006NYJPHI
2321,Line Judge,Michael Spanier,20191006NYJPHI
2322,Back Judge,Greg Meyer,20191006NYJPHI
2323,Side Judge,Jim Quirk,20191006NYJPHI
2324,Field Judge,Land Clark,20191006NYJPHI
2325,Referee,Shawn Smith,20191006ATLHOU
2326,Umpire,Bryan Neale,20191006ATLHOU
2327,Down Judge,Mark Hittner,20191006ATLHOU
2328,Line Judge,Bart Longson,20191006ATLHOU
2329,Back Judge,Dino Paganelli,20191006ATLHOU
2330,Side Judge,Dave Hawkshaw,20191006ATLHOU
2331,Field Judge,Dyrol Prioleau,20191006ATLHOU
2332,Referee,Bradley Rogers,20191006BUFTEN
2333,Umpire,Tony Michalek,20191006BUFTEN
2334,Down Judge,Kent Payne,20191006BUFTEN
2335,Line Judge,Julian Mapp,20191006BUFTEN
2336,Back Judge,Gregory Steed,20191006BUFTEN
2337,Side Judge,Don Willard,20191006BUFTEN
2338,Field Judge,Aaron Santi,20191006BUFTEN
2339,Referee,Alex Kemp,20191006JAXCAR
2340,Umpire,Richard Hall,20191006JAXCAR
2341,Down Judge,Mike Carr,20191006JAXCAR
2342,Line Judge,Jeff Bergman,20191006JAXCAR
2343,Back Judge,Steve Freeman,20191006JAXCAR
2344,Side Judge,Dale Shaw,20191006JAXCAR
2345,Field Judge,John Jenkins,20191006JAXCAR
2346,Referee,Tony Corrente,20191006CHIOAK
2347,Umpire,Bill Schuster,20191006CHIOAK
2348,Down Judge,Dana McKenzie,20191006CHIOAK
2349,Line Judge,Tim Podraza,20191006CHIOAK
2350,Back Judge,Todd Prukop,20191006CHIOAK
2351,Side Judge,Boris Cheek,20191006CHIOAK
2352,Field Judge,Anthony Jeffries,20191006CHIOAK
2353,Referee,John Hussey,20191006ARICIN
2354,Umpire,Alan Eck,20191006ARICIN
2355,Down Judge,Kevin Codey,20191006ARICIN
2356,Line Judge,Carl Johnson,20191006ARICIN
2357,Back Judge,Brad Freeman,20191006ARICIN
2358,Side Judge,Jabir Walker,20191006ARICIN
2359,Field Judge,Allen Baynes,20191006ARICIN
2360,Referee,Clete Blakeman,20191006MINNYG
2361,Umpire,Jeff Rice,20191006MINNYG
2362,Down Judge,Jerry Bergman,20191006MINNYG
2363,Line Judge,Tom Symonette,20191006MINNYG
2364,Back Judge,Perry Paganelli,20191006MINNYG
2365,Side Judge,Jimmy Buchanan,20191006MINNYG
2366,Field Judge,Joe Larrew,20191006MINNYG
2367,Referee,Brad Allen,20191006TAMNOR
2368,Umpire,Barry Anderson,20191006TAMNOR
2369,Down Judge,Jim Mello,20191006TAMNOR
2370,Line Judge,Brian Bolinger,20191006TAMNOR
2371,Back Judge,Greg Yette,20191006TAMNOR
2372,Side Judge,Jimmy Russell,20191006TAMNOR
2373,Field Judge,Steve Zimmer,20191006TAMNOR
2374,Referee,Clay Martin,20191006NWEWAS
2375,Umpire,Dan Ferrell,20191006NWEWAS
2376,Down Judge,Jerod Phillips,20191006NWEWAS
2377,Line Judge,Gary Arthur,20191006NWEWAS
2378,Back Judge,Gregory Wilson,20191006NWEWAS
2379,Side Judge,Greg Gautreaux,20191006NWEWAS
2380,Field Judge,Nathan Jones,20191006NWEWAS
2381,Referee,Walt Anderson,20191006BALPIT
2382,Umpire,Ruben Fowler,20191006BALPIT
2383,Down Judge,Tom Stephan,20191006BALPIT
2384,Line Judge,Byron Boston,20191006BALPIT
2385,Back Judge,Keith Ferguson,20191006BALPIT
2386,Side Judge,Rick Patterson,20191006BALPIT
2387,Field Judge,Keith Washington,20191006BALPIT
2388,Referee,Shawn Hochuli,20191006DENLAC
2389,Umpire,Paul King,20191006DENLAC
2390,Down Judge,Ed Camp,20191006DENLAC
2391,Line Judge,Greg Bradley,20191006DENLAC
2392,Back Judge,Rich Martinez,20191006DENLAC
2393,Side Judge,James Coleman,20191006DENLAC
2394,Field Judge,Tom Hill,20191006DENLAC
2395,Referee,Ronald Torbert,20191006GNBDAL
2396,Umpire,Terry Killens,20191006GNBDAL
2397,Down Judge,Sarah Thomas,20191006GNBDAL
2398,Line Judge,Mark Steinkerchner,20191006GNBDAL
2399,Back Judge,Anthony Josselyn,20191006GNBDAL
2400,Side Judge,Scott Edwards,20191006GNBDAL
2401,Field Judge,Ryan Dickson,20191006GNBDAL
2402,Referee,Craig Wrolstad,20191006INDKAN
2403,Umpire,Steven Woods,20191006INDKAN
2404,Down Judge,Patrick Turner,20191006INDKAN
2405,Line Judge,Tripp Sutter,20191006INDKAN
2406,Back Judge,Scott Helverson,20191006INDKAN
2407,Side Judge,Jeff Lamberth,20191006INDKAN
2408,Field Judge,Terry Brown,20191006INDKAN
2409,Referee,Jerome Boger,20191007CLESFO
2410,Umpire,Carl Paganelli,20191007CLESFO
2411,Down Judge,Patrick Holt,20191007CLESFO
2412,Line Judge,Rusty Baynes,20191007CLESFO
2413,Back Judge,Tony Steratore,20191007CLESFO
2414,Side Judge,Jonah Monroe,20191007CLESFO
2415,Field Judge,David Meslow,20191007CLESFO
2416,Referee,Brad Allen,20191010NYGNWE
2417,Umpire,Barry Anderson,20191010NYGNWE
2418,Down Judge,Jim Mello,20191010NYGNWE
2419,Line Judge,Brian Bolinger,20191010NYGNWE
2420,Back Judge,Greg Yette,20191010NYGNWE
2421,Side Judge,Jimmy Russell,20191010NYGNWE
2422,Field Judge,Steve Zimmer,20191010NYGNWE
2423,Referee,Walt Anderson,20191013CARTAM
2424,Umpire,Ruben Fowler,20191013CARTAM
2425,Down Judge,Tom Stephan,20191013CARTAM
2426,Line Judge,Byron Boston,20191013CARTAM
2427,Back Judge,Keith Ferguson,20191013CARTAM
2428,Side Judge,Rick Patterson,20191013CARTAM
2429,Field Judge,Lee Dyer,20191013CARTAM
2430,Referee,Shawn Smith,20191013WASMIA
2431,Umpire,Bryan Neale,20191013WASMIA
2432,Down Judge,Mark Hittner,20191013WASMIA
2433,Line Judge,Bart Longson,20191013WASMIA
2434,Back Judge,Dino Paganelli,20191013WASMIA
2435,Side Judge,Dave Hawkshaw,20191013WASMIA
2436,Field Judge,Keith Washington,20191013WASMIA
2437,Referee,Clay Martin,20191013CINBAL
2438,Umpire,Fred Bryan,20191013CINBAL
2439,Down Judge,Jerod Phillips,20191013CINBAL
2440,Line Judge,Gary Arthur,20191013CINBAL
2441,Back Judge,Gregory Wilson,20191013CINBAL
2442,Side Judge,Greg Gautreaux,20191013CINBAL
2443,Field Judge,Nathan Jones,20191013CINBAL
2444,Referee,Adrian Hill,20191013SEACLE
2445,Umpire,Roy Ellison,20191013SEACLE
2446,Down Judge,David Oliver,20191013SEACLE
2447,Line Judge,Mark Stewart,20191013SEACLE
2448,Back Judge,Greg Meyer,20191013SEACLE
2449,Side Judge,Jim Quirk,20191013SEACLE
2450,Field Judge,Land Clark,20191013SEACLE
2451,Referee,Shawn Hochuli,20191013HOUKAN
2452,Umpire,Paul King,20191013HOUKAN
2453,Down Judge,Ed Camp,20191013HOUKAN
2454,Line Judge,Michael Spanier,20191013HOUKAN
2455,Back Judge,Rich Martinez,20191013HOUKAN
2456,Side Judge,James Coleman,20191013HOUKAN
2457,Field Judge,Tom Hill,20191013HOUKAN
2458,Referee,Jerome Boger,20191013NORJAX
2459,Umpire,Dan Ferrell,20191013NORJAX
2460,Down Judge,Patrick Holt,20191013NORJAX
2461,Line Judge,Rusty Baynes,20191013NORJAX
2462,Back Judge,Tony Steratore,20191013NORJAX
2463,Side Judge,Jonah Monroe,20191013NORJAX
2464,Field Judge,David Meslow,20191013NORJAX
2465,Referee,Scott Novak,20191013PHIMIN
2466,Umpire,Ramon George,20191013PHIMIN
2467,Down Judge,Derick Bowers,20191013PHIMIN
2468,Line Judge,Walt Coleman IV,20191013PHIMIN
2469,Back Judge,Terrence Miles,20191013PHIMIN
2470,Side Judge,Chad Hill,20191013PHIMIN
2471,Field Judge,Mike Weatherford,20191013PHIMIN
2472,Referee,Carl Cheffers,20191013ATLARI
2473,Umpire,Mark Pellis,20191013ATLARI
2474,Down Judge,Danny Short,20191013ATLARI
2475,Line Judge,Jeff Seeman,20191013ATLARI
2476,Back Judge,Matthew Edwards,20191013ATLARI
2477,Side Judge,Eugene Hall,20191013ATLARI
2478,Field Judge,Michael Banks,20191013ATLARI
2479,Referee,Bill Vinovich,20191013SFOLAR
2480,Umpire,Bruce Stritesky,20191013SFOLAR
2481,Down Judge,Phil McKinnely,20191013SFOLAR
2482,Line Judge,Mark Perlman,20191013SFOLAR
2483,Back Judge,Steve Patrick,20191013SFOLAR
2484,Side Judge,Gary Cavaletto,20191013SFOLAR
2485,Field Judge,Mearl Robinson,20191013SFOLAR
2486,Referee,Bradley Rogers,20191013DALNYJ
2487,Umpire,Tony Michalek,20191013DALNYJ
2488,Down Judge,Kent Payne,20191013DALNYJ
2489,Line Judge,Julian Mapp,20191013DALNYJ
2490,Back Judge,Gregory Steed,20191013DALNYJ
2491,Side Judge,Don Willard,20191013DALNYJ
2492,Field Judge,Aaron Santi,20191013DALNYJ
2493,Referee,Alex Kemp,20191013TENDEN
2494,Umpire,Richard Hall,20191013TENDEN
2495,Down Judge,Mike Carr,20191013TENDEN
2496,Line Judge,Jeff Bergman,20191013TENDEN
2497,Back Judge,Steve Freeman,20191013TENDEN
2498,Side Judge,Dale Shaw,20191013TENDEN
2499,Field Judge,John Jenkins,20191013TENDEN
2500,Referee,John Hussey,20191013PITLAC
2501,Umpire,Alan Eck,20191013PITLAC
2502,Down Judge,Kevin Codey,20191013PITLAC
2503,Line Judge,Carl Johnson,20191013PITLAC
2504,Back Judge,Brad Freeman,20191013PITLAC
2505,Side Judge,Jabir Walker,20191013PITLAC
2506,Field Judge,Allen Baynes,20191013PITLAC
2507,Referee,Clete Blakeman,20191014DETGNB
2508,Umpire,Jeff Rice,20191014DETGNB
2509,Down Judge,Jerry Bergman,20191014DETGNB
2510,Line Judge,Tom Symonette,20191014DETGNB
2511,Back Judge,Perry Paganelli,20191014DETGNB
2512,Side Judge,Jimmy Buchanan,20191014DETGNB
2513,Field Judge,Joe Larrew,20191014DETGNB
2514,Referee,Shawn Smith,20191017KANDEN
2515,Umpire,Bryan Neale,20191017KANDEN
2516,Down Judge,Mark Hittner,20191017KANDEN
2517,Line Judge,Bart Longson,20191017KANDEN
2518,Back Judge,Dino Paganelli,20191017KANDEN
2519,Side Judge,Dave Hawkshaw,20191017KANDEN
2520,Field Judge,Dyrol Prioleau,20191017KANDEN
2521,Referee,Carl Cheffers,20191020MIABUF
2522,Umpire,Mark Pellis,20191020MIABUF
2523,Down Judge,Michael Spanier,20191020MIABUF
2524,Line Judge,Jeff Seeman,20191020MIABUF
2525,Back Judge,Matthew Edwards,20191020MIABUF
2526,Side Judge,Eugene Hall,20191020MIABUF
2527,Field Judge,Michael Banks,20191020MIABUF
2528,Referee,Tony Corrente,20191020HOUIND
2529,Umpire,Bill Schuster,20191020HOUIND
2530,Down Judge,Dana McKenzie,20191020HOUIND
2531,Line Judge,Tim Podraza,20191020HOUIND
2532,Back Judge,Todd Prukop,20191020HOUIND
2533,Side Judge,Boris Cheek,20191020HOUIND
2534,Field Judge,Anthony Jeffries,20191020HOUIND
2535,Referee,Bradley Rogers,20191020MINDET
2536,Umpire,Tony Michalek,20191020MINDET
2537,Down Judge,Kent Payne,20191020MINDET
2538,Line Judge,Julian Mapp,20191020MINDET
2539,Back Judge,Gregory Steed,20191020MINDET
2540,Side Judge,Don Willard,20191020MINDET
2541,Field Judge,Aaron Santi,20191020MINDET
2542,Referee,Clete Blakeman,20191020SFOWAS
2543,Umpire,Jeff Rice,20191020SFOWAS
2544,Down Judge,Jerry Bergman,20191020SFOWAS
2545,Line Judge,Tom Symonette,20191020SFOWAS
2546,Back Judge,Perry Paganelli,20191020SFOWAS
2547,Side Judge,Jimmy Buchanan,20191020SFOWAS
2548,Field Judge,Joe Larrew,20191020SFOWAS
2549,Referee,Ronald Torbert,20191020LARATL
2550,Umpire,Terry Killens,20191020LARATL
2551,Down Judge,Sarah Thomas,20191020LARATL
2552,Line Judge,Mark Steinkerchner,20191020LARATL
2553,Back Judge,Anthony Josselyn,20191020LARATL
2554,Side Judge,Scott Edwards,20191020LARATL
2555,Field Judge,Ryan Dickson,20191020LARATL
2556,Referee,Craig Wrolstad,20191020JAXCIN
2557,Umpire,Steven Woods,20191020JAXCIN
2558,Down Judge,Patrick Turner,20191020JAXCIN
2559,Line Judge,Tripp Sutter,20191020JAXCIN
2560,Back Judge,Scott Helverson,20191020JAXCIN
2561,Side Judge,Jeff Lamberth,20191020JAXCIN
2562,Field Judge,Terry Brown,20191020JAXCIN
2563,Referee,Adrian Hill,20191020ARINYG
2564,Umpire,Roy Ellison,20191020ARINYG
2565,Down Judge,David Oliver,20191020ARINYG
2566,Line Judge,Mark Stewart,20191020ARINYG
2567,Back Judge,Greg Meyer,20191020ARINYG
2568,Side Judge,Jim Quirk,20191020ARINYG
2569,Field Judge,Keith Washington,20191020ARINYG
2570,Referee,Alex Kemp,20191020OAKGNB
2571,Umpire,Richard Hall,20191020OAKGNB
2572,Down Judge,Mike Carr,20191020OAKGNB
2573,Line Judge,Jeff Bergman,20191020OAKGNB
2574,Back Judge,Steve Freeman,20191020OAKGNB
2575,Side Judge,Dale Shaw,20191020OAKGNB
2576,Field Judge,John Jenkins,20191020OAKGNB
2577,Referee,Bill Vinovich,20191020LACTEN
2578,Umpire,Dan Ferrell,20191020LACTEN
2579,Down Judge,Phil McKinnely,20191020LACTEN
2580,Line Judge,Mark Perlman,20191020LACTEN
2581,Back Judge,Steve Patrick,20191020LACTEN
2582,Side Judge,Gary Cavaletto,20191020LACTEN
2583,Field Judge,Mearl Robinson,20191020LACTEN
2584,Referee,Scott Novak,20191020NORCHI
2585,Umpire,Ramon George,20191020NORCHI
2586,Down Judge,Derick Bowers,20191020NORCHI
2587,Line Judge,Walt Coleman IV,20191020NORCHI
2588,Back Judge,Terrence Miles,20191020NORCHI
2589,Side Judge,Chad Hill,20191020NORCHI
2590,Field Judge,Mike Weatherford,20191020NORCHI
2591,Referee,Brad Allen,20191020BALSEA
2592,Umpire,Barry Anderson,20191020BALSEA
2593,Down Judge,Jim Mello,20191020BALSEA
2594,Line Judge,Brian Bolinger,20191020BALSEA
2595,Back Judge,Greg Yette,20191020BALSEA
2596,Side Judge,Jimmy Russell,20191020BALSEA
2597,Field Judge,Steve Zimmer,20191020BALSEA
2598,Referee,Jerome Boger,20191020PHIDAL
2599,Umpire,Carl Paganelli,20191020PHIDAL
2600,Down Judge,Patrick Holt,20191020PHIDAL
2601,Line Judge,Rusty Baynes,20191020PHIDAL
2602,Back Judge,Tony Steratore,20191020PHIDAL
2603,Side Judge,Jonah Monroe,20191020PHIDAL
2604,Field Judge,David Meslow,20191020PHIDAL
2605,Referee,Shawn Hochuli,20191021NWENYJ
2606,Umpire,Paul King,20191021NWENYJ
2607,Down Judge,Ed Camp,20191021NWENYJ
2608,Line Judge,Greg Bradley,20191021NWENYJ
2609,Back Judge,Rich Martinez,20191021NWENYJ
2610,Side Judge,James Coleman,20191021NWENYJ
2611,Field Judge,Tom Hill,20191021NWENYJ
2612,Referee,Carl Cheffers,20191024WASMIN
2613,Umpire,Mark Pellis,20191024WASMIN
2614,Down Judge,Danny Short,20191024WASMIN
2615,Line Judge,Jeff Seeman,20191024WASMIN
2616,Back Judge,Matthew Edwards,20191024WASMIN
2617,Side Judge,Eugene Hall,20191024WASMIN
2618,Field Judge,Michael Banks,20191024WASMIN
2619,Referee,John Hussey,20191027PHIBUF
2620,Umpire,Alan Eck,20191027PHIBUF
2621,Down Judge,Kevin Codey,20191027PHIBUF
2622,Line Judge,Carl Johnson,20191027PHIBUF
2623,Back Judge,Brad Freeman,20191027PHIBUF
2624,Side Judge,Jabir Walker,20191027PHIBUF
2625,Field Judge,Allen Baynes,20191027PHIBUF
2626,Referee,Bradley Rogers,20191027LACCHI
2627,Umpire,Tony Michalek,20191027LACCHI
2628,Down Judge,Kent Payne,20191027LACCHI
2629,Line Judge,Julian Mapp,20191027LACCHI
2630,Back Judge,Gregory Steed,20191027LACCHI
2631,Side Judge,Don Willard,20191027LACCHI
2632,Field Judge,Aaron Santi,20191027LACCHI
2633,Referee,Walt Anderson,20191027DENIND
2634,Umpire,Ruben Fowler,20191027DENIND
2635,Down Judge,Tom Stephan,20191027DENIND
2636,Line Judge,Byron Boston,20191027DENIND
2637,Back Judge,Keith Ferguson,20191027DENIND
2638,Side Judge,Rick Patterson,20191027DENIND
2639,Field Judge,Lee Dyer,20191027DENIND
2640,Referee,Scott Novak,20191027NYGDET
2641,Umpire,Ramon George,20191027NYGDET
2642,Down Judge,Derick Bowers,20191027NYGDET
2643,Line Judge,Walt Coleman IV,20191027NYGDET
2644,Back Judge,Terrence Miles,20191027NYGDET
2645,Side Judge,Chad Hill,20191027NYGDET
2646,Field Judge,Mike Weatherford,20191027NYGDET
2647,Referee,Clete Blakeman,20191027SEAATL
2648,Umpire,Jeff Rice,20191027SEAATL
2649,Down Judge,Jerry Bergman,20191027SEAATL
2650,Line Judge,Tom Symonette,20191027SEAATL
2651,Back Judge,Perry Paganelli,20191027SEAATL
2652,Side Judge,Jimmy Buchanan,20191027SEAATL
2653,Field Judge,Joe Larrew,20191027SEAATL
2654,Referee,Jerome Boger,20191027CINLAR
2655,Umpire,Carl Paganelli,20191027CINLAR
2656,Down Judge,Michael Spanier,20191027CINLAR
2657,Line Judge,Rusty Baynes,20191027CINLAR
2658,Back Judge,Tony Steratore,20191027CINLAR
2659,Side Judge,Jonah Monroe,20191027CINLAR
2660,Field Judge,David Meslow,20191027CINLAR
2661,Referee,Clay Martin,20191027ARINOR
2662,Umpire,Fred Bryan,20191027ARINOR
2663,Down Judge,Jerod Phillips,20191027ARINOR
2664,Line Judge,Gary Arthur,20191027ARINOR
2665,Back Judge,Gregory Wilson,20191027ARINOR
2666,Side Judge,Greg Gautreaux,20191027ARINOR
2667,Field Judge,Nathan Jones,20191027ARINOR
2668,Referee,Brad Allen,20191027NYJJAX
2669,Umpire,Barry Anderson,20191027NYJJAX
2670,Down Judge,Jim Mello,20191027NYJJAX
2671,Line Judge,Brian Bolinger,20191027NYJJAX
2672,Back Judge,Greg Yette,20191027NYJJAX
2673,Side Judge,Jimmy Russell,20191027NYJJAX
2674,Field Judge,Steve Zimmer,20191027NYJJAX
2675,Referee,Adrian Hill,20191027TAMTEN
2676,Umpire,Roy Ellison,20191027TAMTEN
2677,Down Judge,David Oliver,20191027TAMTEN
2678,Line Judge,Mark Stewart,20191027TAMTEN
2679,Back Judge,Greg Meyer,20191027TAMTEN
2680,Side Judge,Jim Quirk,20191027TAMTEN
2681,Field Judge,Land Clark,20191027TAMTEN
2682,Referee,Shawn Smith,20191027CARSFO
2683,Umpire,Bryan Neale,20191027CARSFO
2684,Down Judge,Mark Hittner,20191027CARSFO
2685,Line Judge,Bart Longson,20191027CARSFO
2686,Back Judge,Dino Paganelli,20191027CARSFO
2687,Side Judge,Dave Hawkshaw,20191027CARSFO
2688,Field Judge,Dyrol Prioleau,20191027CARSFO
2689,Referee,Tony Corrente,20191027CLENWE
2690,Umpire,Bill Schuster,20191027CLENWE
2691,Down Judge,Dana McKenzie,20191027CLENWE
2692,Line Judge,Tim Podraza,20191027CLENWE
2693,Back Judge,Todd Prukop,20191027CLENWE
2694,Side Judge,Boris Cheek,20191027CLENWE
2695,Field Judge,Anthony Jeffries,20191027CLENWE
2696,Referee,Craig Wrolstad,20191027OAKHOU
2697,Umpire,Steven Woods,20191027OAKHOU
2698,Down Judge,Patrick Turner,20191027OAKHOU
2699,Line Judge,Tripp Sutter,20191027OAKHOU
2700,Back Judge,Scott Helverson,20191027OAKHOU
2701,Side Judge,Keith Washington,20191027OAKHOU
2702,Field Judge,Terry Brown,20191027OAKHOU
2703,Referee,Bill Vinovich,20191027GNBKAN
2704,Umpire,Bruce Stritesky,20191027GNBKAN
2705,Down Judge,Phil McKinnely,20191027GNBKAN
2706,Line Judge,Mark Perlman,20191027GNBKAN
2707,Back Judge,Steve Patrick,20191027GNBKAN
2708,Side Judge,Gary Cavaletto,20191027GNBKAN
2709,Field Judge,Mearl Robinson,20191027GNBKAN
2710,Referee,Ronald Torbert,20191028MIAPIT
2711,Umpire,Dan Ferrell,20191028MIAPIT
2712,Down Judge,Sarah Thomas,20191028MIAPIT
2713,Line Judge,Mark Steinkerchner,20191028MIAPIT
2714,Back Judge,Anthony Josselyn,20191028MIAPIT
2715,Side Judge,Scott Edwards,20191028MIAPIT
2716,Field Judge,Ryan Dickson,20191028MIAPIT
2717,Referee,Bradley Rogers,20191031SFOARI
2718,Umpire,Tony Michalek,20191031SFOARI
2719,Down Judge,Kent Payne,20191031SFOARI
2720,Line Judge,Julian Mapp,20191031SFOARI
2721,Back Judge,Gregory Steed,20191031SFOARI
2722,Side Judge,Don Willard,20191031SFOARI
2723,Field Judge,Aaron Santi,20191031SFOARI
2724,Referee,Clete Blakeman,20191103HOUJAX
2725,Umpire,Jeff Rice,20191103HOUJAX
2726,Down Judge,Jerry Bergman,20191103HOUJAX
2727,Line Judge,Tom Symonette,20191103HOUJAX
2728,Back Judge,Perry Paganelli,20191103HOUJAX
2729,Side Judge,Jimmy Buchanan,20191103HOUJAX
2730,Field Judge,Joe Larrew,20191103HOUJAX
2731,Referee,Tony Corrente,20191103WASBUF
2732,Umpire,Bill Schuster,20191103WASBUF
2733,Down Judge,Dana McKenzie,20191103WASBUF
2734,Line Judge,Tim Podraza,20191103WASBUF
2735,Back Judge,Todd Prukop,20191103WASBUF
2736,Side Judge,Boris Cheek,20191103WASBUF
2737,Field Judge,Anthony Jeffries,20191103WASBUF
2738,Referee,Ronald Torbert,20191103TENCAR
2739,Umpire,Terry Killens,20191103TENCAR
2740,Down Judge,Sarah Thomas,20191103TENCAR
2741,Line Judge,Mark Steinkerchner,20191103TENCAR
2742,Back Judge,Anthony Josselyn,20191103TENCAR
2743,Side Judge,Scott Edwards,20191103TENCAR
2744,Field Judge,Ryan Dickson,20191103TENCAR
2745,Referee,Craig Wrolstad,20191103CHIPHI
2746,Umpire,Steven Woods,20191103CHIPHI
2747,Down Judge,Patrick Turner,20191103CHIPHI
2748,Line Judge,Tripp Sutter,20191103CHIPHI
2749,Back Judge,Scott Helverson,20191103CHIPHI
2750,Side Judge,Jeff Lamberth,20191103CHIPHI
2751,Field Judge,Terry Brown,20191103CHIPHI
2752,Referee,Brad Allen,20191103INDPIT
2753,Umpire,Barry Anderson,20191103INDPIT
