id,refPosition,officialId,gameId
112,Field Judge,Jimmy Buchanan,20180910LAROAK
113,Referee,Walt Anderson,20180913BALCIN
114,Umpire,Carl Paganelli,20180913BALCIN
115,Down Judge,Tom Stephan,20180913BALCIN
116,Line Judge,Byron Boston,20180913BALCIN
117,Back Judge,Lee Dyer,20180913BALCIN
118,Side Judge,Rick Patterson,20180913BALCIN
119,Field Judge,Terry Brown,20180913BALCIN
120,Referee,Bill Vinovich,20180916CARATL
121,Umpire,Bruce Stritesky,20180916CARATL
122,Down Judge,Mike Spanier,20180916CARATL
123,Line Judge,Mark Perlman,20180916CARATL
124,Back Judge,Steven Patrick,20180916CARATL
125,Side Judge,Gary Cavaletto,20180916CARATL
126,Field Judge,Mearl Robinson,20180916CARATL
127,Referee,Clay Martin,20180916LACBUF
128,Umpire,Fred Bryan,20180916LACBUF
129,Down Judge,Danny Short,20180916LACBUF
130,Line Judge,Kent Payne,20180916LACBUF
131,Back Judge,Gregory Wilson,20180916LACBUF
132,Side Judge,Brad Freeman,20180916LACBUF
133,Field Judge,David Meslow,20180916LACBUF
134,Referee,Ron Torbert,20180916CLENOR
135,Umpire,Dan Ferrell,20180916CLENOR
136,Down Judge,Sarah Thomas,20180916CLENOR
137,Line Judge,Mark Steinkerchner,20180916CLENOR
138,Back Judge,Anthony Josselyn,20180916CLENOR
139,Side Judge,Scott Edwards,20180916CLENOR
140,Field Judge,Jimmy Buchanan,20180916CLENOR
141,Referee,Clete Blakeman,20180916INDWAS
142,Umpire,Ramon George,20180916INDWAS
143,Down Judge,Dana McKenzie,20180916INDWAS
144,Line Judge,Walt Coleman IV,20180916INDWAS
145,Back Judge,Jim Quirk,20180916INDWAS
146,Side Judge,Dyrol Prioleau,20180916INDWAS
147,Field Judge,Joe Larrew,20180916INDWAS
148,Referee,Tony Corrente,20180916MINGNB
149,Umpire,Alan Eck,20180916MINGNB
150,Down Judge,Patrick Turner,20180916MINGNB
151,Line Judge,Tim Podraza,20180916MINGNB
152,Back Judge,Todd Prukop,20180916MINGNB
153,Side Judge,Scott Novak,20180916MINGNB
154,Field Judge,Keith Washington,20180916MINGNB
155,Referee,Peter Morelli,20180916HOUTEN
156,Umpire,Steven Woods,20180916HOUTEN
157,Down Judge,Steve Stelljes,20180916HOUTEN
158,Line Judge,Jeff Seeman,20180916HOUTEN
159,Back Judge,Keith Ferguson,20180916HOUTEN
160,Side Judge,Boris Cheek,20180916HOUTEN
161,Field Judge,Anthony Jeffries,20180916HOUTEN
162,Referee,Jerome Boger,20180916KANPIT
163,Umpire,Bill Schuster,20180916KANPIT
164,Down Judge,Mike Carr,20180916KANPIT
165,Line Judge,Rusty Baynes,20180916KANPIT
166,Back Judge,Tony Steratore,20180916KANPIT
167,Side Judge,Jonah Monroe,20180916KANPIT
168,Field Judge,Dale Shaw,20180916KANPIT
169,Referee,Brad Allen,20180916MIANYJ
170,Umpire,Ruben Fowler,20180916MIANYJ
171,Down Judge,Jim Mello,20180916MIANYJ
172,Line Judge,Brian Bolinger,20180916MIANYJ
173,Back Judge,Terrence Miles,20180916MIANYJ
174,Side Judge,Mike Weatherford,20180916MIANYJ
175,Field Judge,Steve Zimmer,20180916MIANYJ
176,Referee,Alex Kemp,20180916PHITAM
177,Umpire,Richard Hall,20180916PHITAM
178,Down Judge,Tom Symonette,20180916PHITAM
179,Line Judge,Jeff Bergman,20180916PHITAM
180,Back Judge,Steve Freeman,20180916PHITAM
181,Side Judge,Aaron Santi,20180916PHITAM
182,Field Judge,John Jenkins,20180916PHITAM
183,Referee,Craig Wrolstad,20180916ARILAR
184,Umpire,Paul King,20180916ARILAR
185,Down Judge,Jerod Phillips,20180916ARILAR
186,Line Judge,Carl Johnson,20180916ARILAR
187,Back Judge,Scott Helverson,20180916ARILAR
188,Side Judge,Adrian Hill,20180916ARILAR
189,Field Judge,Jeff Lamberth,20180916ARILAR
190,Referee,Shawn Hochuli,20180916DETSFO
191,Umpire,Roy Ellison,20180916DETSFO
192,Down Judge,Ed Camp,20180916DETSFO
193,Line Judge,Greg Bradley,20180916DETSFO
194,Back Judge,Rich Martinez,20180916DETSFO
195,Side Judge,Tom Hill,20180916DETSFO
196,Field Judge,Chad Hill,20180916DETSFO
197,Referee,John Hussey,20180916OAKDEN
198,Umpire,Tony Michalek,20180916OAKDEN
199,Down Judge,Hugo Cruz,20180916OAKDEN
200,Line Judge,Derick Bowers,20180916OAKDEN
201,Back Judge,Greg Steed,20180916OAKDEN
202,Side Judge,Allen Baynes,20180916OAKDEN
203,Field Judge,Don Willard,20180916OAKDEN
204,Referee,Carl Cheffers,20180916NWEJAX
205,Umpire,Barry Anderson,20180916NWEJAX
206,Down Judge,Kevin Codey,20180916NWEJAX
207,Line Judge,Gary Arthur,20180916NWEJAX
208,Back Judge,Greg Meyer,20180916NWEJAX
209,Side Judge,Eugene Hall,20180916NWEJAX
210,Field Judge,Land Clark,20180916NWEJAX
211,Referee,John Parry,20180916NYGDAL
212,Umpire,Mark Pellis,20180916NYGDAL
213,Down Judge,David Oliver,20180916NYGDAL
214,Line Judge,Julian Mapp,20180916NYGDAL
215,Back Judge,Perry Paganelli,20180916NYGDAL
216,Side Judge,Michael Banks,20180916NYGDAL
217,Field Judge,Matt Edwards,20180916NYGDAL
218,Referee,Walt Coleman,20180917SEACHI
219,Umpire,Jeff Rice,20180917SEACHI
220,Down Judge,Jerry Bergman,20180917SEACHI
221,Line Judge,Mark Stewart,20180917SEACHI
222,Back Judge,Greg Yette,20180917SEACHI
223,Side Judge,Jabir Walker,20180917SEACHI
224,Field Judge,Greg Gautreaux,20180917SEACHI
225,Referee,Jerome Boger,20180920NYJCLE
226,Umpire,Bill Schuster,20180920NYJCLE
227,Down Judge,Mike Carr,20180920NYJCLE
228,Line Judge,Rusty Baynes,20180920NYJCLE
229,Back Judge,Tony Steratore,20180920NYJCLE
230,Side Judge,Jonah Monroe,20180920NYJCLE
231,Field Judge,Dale Shaw,20180920NYJCLE
232,Referee,Walt Anderson,20180923NORATL
233,Umpire,Carl Paganelli,20180923NORATL
234,Down Judge,Tom Stephan,20180923NORATL
235,Line Judge,Byron Boston,20180923NORATL
236,Back Judge,Steve Freeman,20180923NORATL
237,Side Judge,Rick Patterson,20180923NORATL
238,Field Judge,Terry Brown,20180923NORATL
239,Referee,Alex Kemp,20180923BUFMIN
240,Umpire,Richard Hall,20180923BUFMIN
241,Down Judge,Tom Symonette,20180923BUFMIN
242,Line Judge,Jeff Bergman,20180923BUFMIN
243,Back Judge,Lee Dyer,20180923BUFMIN
244,Side Judge,Aaron Santi,20180923BUFMIN
245,Field Judge,John Jenkins,20180923BUFMIN
246,Referee,John Parry,20180923CINCAR
247,Umpire,Mark Pellis,20180923CINCAR
248,Down Judge,David Oliver,20180923CINCAR
249,Line Judge,Julian Mapp,20180923CINCAR
250,Back Judge,Perry Paganelli,20180923CINCAR
251,Side Judge,Michael Banks,20180923CINCAR
252,Field Judge,Matt Edwards,20180923CINCAR
253,Referee,Clay Martin,20180923INDPHI
254,Umpire,Fred Bryan,20180923INDPHI
255,Down Judge,Danny Short,20180923INDPHI
256,Line Judge,Kent Payne,20180923INDPHI
257,Back Judge,Gregory Wilson,20180923INDPHI
258,Side Judge,Brad Freeman,20180923INDPHI
259,Field Judge,Mike Weatherford,20180923INDPHI
260,Referee,Ron Torbert,20180923DENBAL
261,Umpire,Dan Ferrell,20180923DENBAL
262,Down Judge,Sarah Thomas,20180923DENBAL
263,Line Judge,Mark Steinkerchner,20180923DENBAL
264,Back Judge,Anthony Josselyn,20180923DENBAL
265,Side Judge,Scott Edwards,20180923DENBAL
266,Field Judge,Jimmy Buchanan,20180923DENBAL
267,Referee,Craig Wrolstad,20180923GNBWAS
268,Umpire,Paul King,20180923GNBWAS
269,Down Judge,Jerod Phillips,20180923GNBWAS
270,Line Judge,Carl Johnson,20180923GNBWAS
271,Back Judge,Scott Helverson,20180923GNBWAS
272,Side Judge,Adrian Hill,20180923GNBWAS
273,Field Judge,Jeff Lamberth,20180923GNBWAS
274,Referee,Walt Coleman,20180923NYGHOU
275,Umpire,Jeff Rice,20180923NYGHOU
276,Down Judge,Jerry Bergman,20180923NYGHOU
277,Line Judge,Mark Stewart,20180923NYGHOU
278,Back Judge,Greg Yette,20180923NYGHOU
279,Side Judge,Jabir Walker,20180923NYGHOU
280,Field Judge,Greg Gautreaux,20180923NYGHOU
281,Referee,Shawn Smith,20180923TENJAX
282,Umpire,Bryan Neale,20180923TENJAX
283,Down Judge,Mark Hittner,20180923TENJAX
284,Line Judge,Bart Longson,20180923TENJAX
285,Back Judge,Dino Paganelli,20180923TENJAX
286,Side Judge,James Coleman,20180923TENJAX
287,Field Judge,Brad Rogers,20180923TENJAX
288,Referee,Tony Corrente,20180923SFOKAN
289,Umpire,Alan Eck,20180923SFOKAN
290,Down Judge,Hugo Cruz,20180923SFOKAN
291,Line Judge,Tim Podraza,20180923SFOKAN
292,Back Judge,Todd Prukop,20180923SFOKAN
293,Side Judge,Ryan Dickson,20180923SFOKAN
294,Field Judge,Keith Washington,20180923SFOKAN
295,Referee,Shawn Hochuli,20180923OAKMIA
296,Umpire,Roy Ellison,20180923OAKMIA
297,Down Judge,Ed Camp,20180923OAKMIA
298,Line Judge,Greg Bradley,20180923OAKMIA
299,Back Judge,Rich Martinez,20180923OAKMIA
300,Side Judge,Chad Hill,20180923OAKMIA
301,Field Judge,Tom Hill,20180923OAKMIA
302,Referee,John Hussey,20180923LACLAR
303,Umpire,Tony Michalek,20180923LACLAR
304,Down Judge,Kevin Codey,20180923LACLAR
305,Line Judge,Derick Bowers,20180923LACLAR
306,Back Judge,Greg Steed,20180923LACLAR
307,Side Judge,Allen Baynes,20180923LACLAR
308,Field Judge,Don Willard,20180923LACLAR
309,Referee,Bill Vinovich,20180923CHIARI
310,Umpire,Bruce Stritesky,20180923CHIARI
311,Down Judge,Mike Spanier,20180923CHIARI
312,Line Judge,Mark Perlman,20180923CHIARI
313,Back Judge,Steven Patrick,20180923CHIARI
314,Side Judge,Gary Cavaletto,20180923CHIARI
315,Field Judge,Mearl Robinson,20180923CHIARI
316,Referee,Carl Cheffers,20180923DALSEA
317,Umpire,Barry Anderson,20180923DALSEA
318,Down Judge,Patrick Turner,20180923DALSEA
319,Line Judge,Gary Arthur,20180923DALSEA
320,Back Judge,Greg Meyer,20180923DALSEA
321,Side Judge,Eugene Hall,20180923DALSEA
322,Field Judge,Land Clark,20180923DALSEA
323,Referee,Clete Blakeman,20180923NWEDET
324,Umpire,Ramon George,20180923NWEDET
325,Down Judge,Dana McKenzie,20180923NWEDET
326,Line Judge,Walt Coleman IV,20180923NWEDET
327,Back Judge,Jim Quirk,20180923NWEDET
328,Side Judge,Dyrol Prioleau,20180923NWEDET
329,Field Judge,Joe Larrew,20180923NWEDET
330,Referee,Peter Morelli,20180924PITTAM
331,Umpire,Steven Woods,20180924PITTAM
332,Down Judge,Steve Stelljes,20180924PITTAM
333,Line Judge,Jeff Seeman,20180924PITTAM
334,Back Judge,Keith Ferguson,20180924PITTAM
335,Side Judge,Boris Cheek,20180924PITTAM
336,Field Judge,Anthony Jeffries,20180924PITTAM
337,Referee,Brad Allen,20180927MINLAR
338,Umpire,Ruben Fowler,20180927MINLAR
339,Down Judge,Jim Mello,20180927MINLAR
340,Line Judge,Brian Bolinger,20180927MINLAR
341,Back Judge,Terrence Miles,20180927MINLAR
342,Side Judge,Scott Novak,20180927MINLAR
343,Field Judge,Steve Zimmer,20180927MINLAR
344,Referee,Shawn Smith,20180930CINATL
345,Umpire,Bryan Neale,20180930CINATL
346,Down Judge,Mark Hittner,20180930CINATL
347,Line Judge,Bart Longson,20180930CINATL
348,Back Judge,Dino Paganelli,20180930CINATL
349,Side Judge,James Coleman,20180930CINATL
350,Field Judge,Brad Rogers,20180930CINATL
351,Referee,Bill Vinovich,20180930BUFGNB
352,Umpire,Bruce Stritesky,20180930BUFGNB
353,Down Judge,Mike Spanier,20180930BUFGNB
354,Line Judge,Mark Perlman,20180930BUFGNB
355,Back Judge,Steven Patrick,20180930BUFGNB
356,Side Judge,Gary Cavaletto,20180930BUFGNB
357,Field Judge,Mearl Robinson,20180930BUFGNB
358,Referee,Jerome Boger,20180930TAMCHI
359,Umpire,Bill Schuster,20180930TAMCHI
360,Down Judge,Mike Carr,20180930TAMCHI
361,Line Judge,Rusty Baynes,20180930TAMCHI
362,Back Judge,Tony Steratore,20180930TAMCHI
363,Side Judge,Mike Weatherford,20180930TAMCHI
364,Field Judge,Dale Shaw,20180930TAMCHI
365,Referee,Carl Cheffers,20180930HOUIND
366,Umpire,Barry Anderson,20180930HOUIND
367,Down Judge,Hugo Cruz,20180930HOUIND
368,Line Judge,Gary Arthur,20180930HOUIND
369,Back Judge,Greg Meyer,20180930HOUIND
370,Side Judge,Eugene Hall,20180930HOUIND
371,Field Judge,Land Clark,20180930HOUIND
372,Referee,Walt Coleman,20180930DETDAL
373,Umpire,Jeff Rice,20180930DETDAL
374,Down Judge,Jerry Bergman,20180930DETDAL
