id,date,season
20181104CHIBUF,2018-11-04T13:00:00,2018
20181104KANCLE,2018-11-04T13:00:00,2018
20181104NYJMIA,2018-11-04T13:00:00,2018
20181104LACSEA,2018-11-04T16:05:00,2018
20181104HOUDEN,2018-11-04T16:05:00,2018
20181104LARNOR,2018-11-04T16:25:00,2018
20181104GNBNWE,2018-11-04T20:20:00,2018
20181105TENDAL,2018-11-05T20:15:00,2018
20181108CARPIT,2018-11-08T20:20:00,2018
20181111ATLCLE,2018-11-11T13:00:00,2018
20181111DETCHI,2018-11-11T13:00:00,2018
20181111NORCIN,2018-11-11T13:00:00,2018
20181111JAXIND,2018-11-11T13:00:00,2018
20181111ARIKAN,2018-11-11T13:00:00,2018
20181111WASTAM,2018-11-11T13:00:00,2018
20181111BUFNYJ,2018-11-11T13:00:00,2018
20181111NWETEN,2018-11-11T13:00:00,2018
20181111LACOAK,2018-11-11T16:05:00,2018
20181111MIAGNB,2018-11-11T16:25:00,2018
20181111SEALAR,2018-11-11T16:25:00,2018
20181111DALPHI,2018-11-11T20:20:00,2018
20181112NYGSFO,2018-11-12T20:15:00,2018
20181115GNBSEA,2018-11-15T20:20:00,2018
20181118DALATL,2018-11-18T13:00:00,2018
20181118CARDET,2018-11-18T13:00:00,2018
20181118CINBAL,2018-11-18T13:00:00,2018
20181118TENIND,2018-11-18T13:00:00,2018
20181118HOUWAS,2018-11-18T13:00:00,2018
20181118PITJAX,2018-11-18T13:00:00,2018
20181118TAMNYG,2018-11-18T13:00:00,2018
20181118OAKARI,2018-11-18T16:05:00,2018
20181118DENLAC,2018-11-18T16:05:00,2018
20181118PHINOR,2018-11-18T16:25:00,2018
20181118MINCHI,2018-11-18T20:20:00,2018
20181119KANLAR,2018-11-19T20:15:00,2018
20181122CHIDET,2018-11-22T12:30:00,2018
20181122WASDAL,2018-11-22T16:30:00,2018
20181122ATLNOR,2018-11-22T20:20:00,2018
20181125JAXBUF,2018-11-25T13:00:00,2018
20181125SEACAR,2018-11-25T13:00:00,2018
20181125CLECIN,2018-11-25T13:00:00,2018
20181125NWENYJ,2018-11-25T13:00:00,2018
20181125NYGPHI,2018-11-25T13:00:00,2018
20181125OAKBAL,2018-11-25T13:00:00,2018
20181125SFOTAM,2018-11-25T13:00:00,2018
20181125ARILAC,2018-11-25T16:05:00,2018
20181125MIAIND,2018-11-25T16:25:00,2018
20181125PITDEN,2018-11-25T16:25:00,2018
20181125GNBMIN,2018-11-25T20:20:00,2018
20181126TENHOU,2018-11-26T20:15:00,2018
20181129NORDAL,2018-11-29T20:20:00,2018
20181202BALATL,2018-12-02T13:00:00,2018
20181202BUFMIA,2018-12-02T13:00:00,2018
20181202CARTAM,2018-12-02T13:00:00,2018
20181202CHINYG,2018-12-02T13:00:00,2018
20181202DENCIN,2018-12-02T13:00:00,2018
20181202CLEHOU,2018-12-02T13:00:00,2018
20181202INDJAX,2018-12-02T13:00:00,2018
20181202ARIGNB,2018-12-02T13:00:00,2018
20181202LARDET,2018-12-02T13:00:00,2018
20181202KANOAK,2018-12-02T16:05:00,2018
20181202NYJTEN,2018-12-02T16:05:00,2018
20181202MINNWE,2018-12-02T16:25:00,2018
20181202SFOSEA,2018-12-02T16:25:00,2018
20181202LACPIT,2018-12-02T20:20:00,2018
20181203WASPHI,2018-12-03T20:15:00,2018
20181206JAXTEN,2018-12-06T20:20:00,2018
20181209ATLGNB,2018-12-09T13:00:00,2018
20181209NYJBUF,2018-12-09T13:00:00,2018
20181209CARCLE,2018-12-09T13:00:00,2018
20181209INDHOU,2018-12-09T13:00:00,2018
20181209BALKAN,2018-12-09T13:00:00,2018
20181209NWEMIA,2018-12-09T13:00:00,2018
20181209NORTAM,2018-12-09T13:00:00,2018
20181209NYGWAS,2018-12-09T13:00:00,2018
20181209CINLAC,2018-12-09T16:05:00,2018
20181209DENSFO,2018-12-09T16:05:00,2018
20181209DETARI,2018-12-09T16:25:00,2018
20181209PHIDAL,2018-12-09T16:25:00,2018
20181209PITOAK,2018-12-09T16:25:00,2018
20181209LARCHI,2018-12-09T20:20:00,2018
20181210MINSEA,2018-12-10T20:15:00,2018
20181213LACKAN,2018-12-13T20:20:00,2018
20181215HOUNYJ,2018-12-15T16:30:00,2018
20181215CLEDEN,2018-12-15T20:20:00,2018
20181216ARIATL,2018-12-16T13:00:00,2018
